384,|(14697,14697)|,1,-1
385,|(14698,14698)|,1,-1
386,|(14699,14699)|,1,-1
387,|(14700,14835)|,136,-1
388,|(14836,14837)|,2,-1
389,|(14838,14838)|,1,-1
390,|(14839,14839)|,1,-1
391,|(14840,14975)|,136,-1
392,|(14976,15111)|,136,-1
393,|(15112,15112)|,1,-1
394,|(15113,15114)|,2,-1
395,|(15115,15250)|,136,-1
396,|(15251,15251)|,1,-1
397,|(15252,15252)|,1,-1
398,|(15253,15388)|,136,-1
399,|(15389,15389)|,1,-1
400,|(15390,15525)|,136,-1
401,|(15526,15528)|,3,-1
402,|(15529,15529)|,1,-1
403,|(15530,15530)|,1,-1
404,|(15531,15531)|,1,-1
405,|(15532,15667)|,136,-1
406,|(15668,15668)|,1,-1
407,|(15669,15804)|,136,-1
408,|(15805,15805)|,1,-1
409,|(15806,15806)|,1,-1
410,|(15807,15808)|,2,-1
411,|(15809,15944)|,136,-1
412,|(15945,15945)|,1,-1
413,|(15946,16081)|,136,-1
414,|(16082,16083)|,2,-1
415,|(16084,16084)|,1,-1
416,|(16085,16085)|,1,-1
417,|(16086,16086)|,1,-1
418,|(16087,16088)|,2,-1
419,|(16089,16164)|,76,-1
420,|(16165,16225)|,61,-1
421,|(16226,16226)|,1,-1
422,|(16227,16227)|,1,-1
423,|(16228,16228)|,1,-1
424,|(16229,16364)|,136,-1
425,|(16365,16365)|,1,-1
426,|(16366,16366)|,1,-1
427,|(16367,16367)|,1,-1
428,|(16368,16503)|,136,-1
429,|(16504,16639)|,136,-1
430,|(16640,16640)|,1,-1
431,|(16641,16695)|,55,-1
432,|(16696,16698)|,3,-1
433,|(16699,16834)|,136,-1
434,|(16835,16835)|,1,-1
435,|(16836,16870)|,35,-1
436,|(16871,16882)|,12,-1
437,|(16883,16883)|,1,-1
438,|(16884,16900)|,17,-1
439,|(16901,16902)|,2,-1
440,|(16903,16917)|,15,-1
441,|(16918,16971)|,54,-1
442,|(16972,16972)|,1,-1
443,|(16973,16993)|,21,-1
444,|(16994,16997)|,4,-1
445,|(16998,17037)|,40,-1
446,|(17038,17110)|,73,-1
447,|(17111,17112)|,2,-1
448,|(17113,17113)|,1,-1
449,|(17114,17150)|,37,-1
450,|(17151,17151)|,1,-1
451,|(17152,17157)|,6,-1
452,|(17158,17158)|,1,-1
453,|(17159,17294)|,136,-1
454,|(17295,17295)|,1,-1
455,|(17296,17296)|,1,-1
456,|(17297,17432)|,136,-1
457,|(17433,17433)|,1,-1
458,|(17434,17569)|,136,-1
459,|(17570,17570)|,1,-1
460,|(17571,17572)|,2,-1
461,|(17573,17574)|,2,-1
462,|(17575,17575)|,1,-1
463,|(17576,17603)|,28,-1
464,|(17604,17624)|,21,-1
465,|(17625,17627)|,3,-1
466,|(17628,17659)|,32,-1
467,|(17660,17660)|,1,-1
468,|(17661,17717)|,57,-1
469,|(17718,17718)|,1,-1
470,|(17719,17854)|,136,-1
471,|(17855,17855)|,1,-1
472,|(17856,17910)|,55,-1
473,|(17911,17913)|,3,-1
474,|(17914,18049)|,136,-1
475,|(18050,18050)|,1,-1
476,|(18051,18085)|,35,-1
477,|(18086,18097)|,12,-1
478,|(18098,18098)|,1,-1
479,|(18099,18115)|,17,-1
480,|(18116,18117)|,2,-1
481,|(18118,18132)|,15,-1
482,|(18133,18186)|,54,-1
483,|(18187,18187)|,1,-1
484,|(18188,18208)|,21,-1
485,|(18209,18212)|,4,-1
486,|(18213,18252)|,40,-1
487,|(18253,18325)|,73,-1
488,|(18326,18326)|,1,-1
489,|(18327,18327)|,1,-1
490,|(18328,18328)|,1,-1
491,|(18329,18361)|,33,-1
492,|(18362,18362)|,1,-1
493,|(18363,18368)|,6,-1
494,|(18369,18369)|,1,-1
495,|(18370,18505)|,136,-1
496,|(18506,18506)|,1,-1
497,|(18507,18642)|,136,-1
498,|(18643,18644)|,2,-1
499,|(18645,18646)|,2,-1
500,|(18647,18647)|,1,-1
501,|(18648,18783)|,136,-1
